First Name,Last Name,Email,Phone,City,Company,Lead Source,Status,Created Date,,,,,,,
Moshe,Biton,moshebiton@yahoo.com,0521631179,Rishon Lezion,StartUp Co.,Referral,INACTIVE,4.9.2025,,,,,,,
Omer,Levi,omer.levi@hotmail.com,0562197636,Ramat Gan,Acme Ltd.,Social Media,INACTIVE,24.4.2025,,,,,,,
Adi,Elbaz,adielbaz@hotmail.com,0594447207,Haifa,StartUp Co.,Event,IN PROGRESS,12.6.2025,,,,,,,
David,Biton,david.biton@outlook.com,0589906450,Petah Tikva,TechCo,Social Media,IN PROGRESS,11.5.2025,,,,,,,
Michal,Avraham,mavraham@yahoo.com,0,Petah Tikva,StartUp Co.,REFERRAL,ACTIVE,28.1.2025,,,,,,,
Rachel,Toledano,rachel.toledano@walla.co.il,0583939209,Herzliya,Globex Inc,Cold Call,IN PROGRESS,3.5.2025,,,,,,,
Shani,Toledano,shanitoledano@outlook.com,08749762,Holon,Sela Group,Website,CLOSED,9.4.2025,,,,,,,
Dor,Peretz,dperetz@yahoo.com,0,Rishon Lezion,Sela Group,Referral,CLOSED,16.12.2025,,,,,,,
Eli,Katz,ekatz@gmail.com,0593535634,Netanya,TechCo,Cold Call,ACTIVE,25.8.2025,,,,,,,
Dana,Dahan,danadahan@hotmail.com,0589724718,Haifa,StartUp Co.,,ACTIVE,14.7.2025,,,,,,,
Guy,Shapiro,guyshapiro@yahoo.com,0504250065,Tel Aviv,Acme Ltd,REFERRAL,ACTIVE,7.5.2025,,,,,,,
Hila,Biton,hilabiton@walla.co.il,0561736094,Ramat Gan,Globex Inc,Referral,CLOSED,5.3.2025,,,,,,,
Eli,Toledano,etoledano@hotmail.com,0556218708,Haifa,Globex Inc,,ACTIVE,10.11.2025,,,,,,,
Omer,Malka,omalka@outlook.com,0584328837,Netanya,Sela Group,REFERRAL,ACTIVE,12.9.2025,,,,,,,
Hila,Rosenberg,hrosenberg@gmail.com,02420436,Haifa,Acme Ltd.,REFERRAL,ACTIVE,12.1.2025,,,,,,,
Moshe,Biton  ,mbiton@outlook.com,0552641024,,Nexus Israel,website,ACTIVE,20.9.2025,,,,,,,
Sarah,Friedman,sarah.friedman@hotmail.com,02580205,Ramat Gan,TechCo,REFERRAL,INACTIVE,3.11.2025,,,,,,,
Michal,Avraham,,0587444974,Haifa,TechCo,Event,ACTIVE,23.10.2025,,,,,,,
Avi,Malka  ,avi.malka@walla.co.il,0579031829,Haifa,Delta Systems,Cold Call,ACTIVE,16.2.2025,,,,,,,
Uri,Ben-David,uriben-david@gmail.com,0552145808,Haifa,,website,CLOSED,25.9.2025,,,,,,,
Shani,Shapiro,shanishapiro@walla.co.il,0543694288,Petah Tikva,N/A,REFERRAL,ACTIVE,18.10.2025,,,,,,,
Dana,Marom,dana.marom@hotmail.com,0599563491,Ramat Gan,Globex Inc,website,ACTIVE,8.1.2025,,,,,,,
Liat,Friedman,liat.friedman@yahoo.com,0538200092,Jerusalem,StartUp Co.,Referral,ACTIVE,13.3.2025,,,,,,,
Noa,Dahan,noa.dahan@hotmail.com,02290542,Petah Tikva,Sela Group,Event,ACTIVE,4.8.2025,,,,,,,
Avi,Rosenberg,avirosenberg@gmail.com,02782975,Herzliya,Globex Inc,Referral,IN PROGRESS,9.2.2025,,,,,,,
Tal,Ben-David,tben-david@walla.co.il,09782227,Haifa,Acme Ltd,,ACTIVE,13.8.2025,,,,,,,
Ron,Mizrahi  ,ron.mizrahi@hotmail.com,0567097414,Rishon Lezion,Sela Group,Referral,ACTIVE,20.4.2025,,,,,,,
Nir,Katz,nirkatz@outlook.com,0,Beer Sheva,Sela Group,Referral,ACTIVE,9.6.2025,,,,,,,
Avi,Marom,avimarom@hotmail.com,0,Jerusalem,StartUp Co.,Event,ACTIVE,9.3.2025,,,,,,,
Maya,Dahan,maya.dahan@gmail.com,0517474228,Netanya,TechCo,REFERRAL,ACTIVE,13.7.2025,,,,,,,
Tamar,Friedman,,08979999,Netanya,Acme Ltd,Referral,ACTIVE,19.11.2025,,,,,,,
Noa,Katz,noa.katz@yahoo.com,0567510106,Tel Aviv,Nexus Israel,Website,ACTIVE,28.12.2025,,,,,,,
Maya,Dahan,mdahan@yahoo.com,0553674757,Rishon Lezion,Delta Systems,Referral,ACTIVE,1.10.2025,,,,,,,
Yosef,Mizrahi  ,yosef.mizrahi@outlook.com,0582501119,Jerusalem,Delta Systems,Website,ACTIVE,21.1.2025,,,,,,,
Maya,Rosenberg,maya.rosenberg@hotmail.com,01402692,Ramat Gan,Globex Inc,Cold Call,ACTIVE,5.5.2025,,,,,,,
Roni,Ben-David,roni.ben-david@hotmail.com,0535440025,Tel Aviv,Sela Group,Social Media,IN PROGRESS,2.5.2025,,,,,,,
Itai,Elbaz,itai.elbaz@walla.co.il,0512140194,Herzliya,,Event,ACTIVE,23.11.2025,,,,,,,
Nir,Levi,nlevi@outlook.com,0519234320,Netanya,N/A,Referral,IN PROGRESS,19.11.2025,,,,,,,
Hila,Amar,hamar@gmail.com,01688112,,Acme Ltd,,ACTIVE,4.8.2025,,,,,,,
Omer,Malka,OMALKA@GMAIL.COM,0582636422,Petah Tikva,Acme Ltd.,Cold Call,INACTIVE,21.3.2025,,,,,,,
Amit,Rosenberg,arosenberg@yahoo.com,05071180,Ramat Gan,StartUp Co.,Referral,IN PROGRESS,25.5.2025,,,,,,,
Moshe,Azoulay,mazoulay@yahoo.com,01292669,Herzliya,TechCo,,ACTIVE,1.6.2025,,,,,,,
David,Peretz,david.peretz@walla.co.il,0534576485,Petah Tikva,Acme Ltd,Referral,ACTIVE,2.2.2025,,,,,,,
Yosef,Sasson,ysasson@walla.co.il,07591763,Rishon Lezion,Nexus Israel,website,CLOSED,27.8.2025,,,,,,,
Rachel,Toledano,rachel.toledano@hotmail.com,0545854206,Beer Sheva,TechCo,Event,ACTIVE,23.3.2025,,,,,,,
Rachel,Marom,,07397312,Tel Aviv,,Website,IN PROGRESS,28.10.2025,,,,,,,
Uri,Azoulay,uriazoulay@gmail.com,0536968373,Herzliya,Delta Systems,Event,CLOSED,15.2.2025,,,,,,,
Ron,Rosenberg,ronrosenberg@yahoo.com,04670253,,Acme Ltd,Event,INACTIVE,26.9.2025,,,,,,,
Dana,Gabai,dgabai@walla.co.il,0504243072,Beer Sheva,TechCo,Event,ACTIVE,23.9.2025,,,,,,,
Dor,Friedman,dfriedman@gmail.com,0,Netanya,N/A,Cold Call,CLOSED,11.3.2025,,,,,,,
Tamar,Cohen,tcohen@outlook.com,0502959309,Holon,Acme Ltd,Website,ACTIVE,13.2.2025,,,,,,,
Moshe,Friedman,moshe.friedman@outlook.com,01502694,Petah Tikva,Nexus Israel,REFERRAL,INACTIVE,1.1.2025,,,,,,,
Dor,Ben-David,dor.ben-david@hotmail.com,0582113457,Tel Aviv,Sela Group,Cold Call,ACTIVE,13.1.2025,,,,,,,
Michal,Toledano,michaltoledano@gmail.com,0508149680,Jerusalem,Acme Ltd.,REFERRAL,CLOSED,26.10.2025,,,,,,,
Dana,Sasson,dsasson@walla.co.il,0567702622,Holon,,Website,IN PROGRESS,12.12.2025,,,,,,,
Shira,Elbaz,selbaz@outlook.com,0571892313,Haifa,Globex Inc,Referral,ACTIVE,9.3.2025,,,,,,,
Shira,Malka,shira.malka@walla.co.il,0587352484,Petah Tikva,N/A,Referral,CLOSED,24.8.2025,,,,,,,
Maya,Levi,maya.levi@hotmail.com,04523582,Haifa,Nexus Israel,Cold Call,IN PROGRESS,28.4.2025,,,,,,,
Amit,Malka,amit.malka@yahoo.com,0529460029,Tel Aviv,Acme Ltd,Cold Call,IN PROGRESS,20.1.2025,,,,,,,
Noa,Dahan,ndahan@yahoo.com,0538571422,Ramat Gan,TechCo,,ACTIVE,2.12.2025,,,,,,,
Liat,Friedman,lfriedman@hotmail.com,0565008240,Herzliya,Acme Ltd,website,ACTIVE,24.8.2025,,,,,,,
Avi,Ben-David,avi.ben-david@outlook.com,0597169127,Holon,StartUp Co.,,ACTIVE,25.12.2025,,,,,,,
Shani,Shapiro,,0568304317,Jerusalem,Delta Systems,Event,ACTIVE,13.6.2025,,,,,,,
Itai,Shapiro,itai.shapiro@gmail.com,0592934976,Tel Aviv,N/A,,CLOSED,6.3.2025,,,,,,,
Eli,Rosenberg,elirosenberg@yahoo.com,0579481739,Herzliya,StartUp Co.,,CLOSED,27.6.2025,,,,,,,
Yossi,Rosenberg,yossi.rosenberg@outlook.com,0536479762,Jerusalem,StartUp Co.,website,ACTIVE,4.3.2025,,,,,,,
Roni,Cohen,ronicohen@walla.co.il,0558144033,Tel Aviv,TechCo,REFERRAL,ACTIVE,14.7.2025,,,,,,,
Gal,Azoulay,galazoulay@outlook.com,0519187029,Herzliya,Acme Ltd.,REFERRAL,CLOSED,16.3.2025,,,,,,,
Amit,Friedman,amit.friedman@walla.co.il,0529333686,Herzliya,Sela Group,Event,ACTIVE,6.12.2025,,,,,,,
Itai,Avraham,itaiavraham@hotmail.com,0598722401,Petah Tikva,Acme Ltd.,Website,CLOSED,25.11.2025,,,,,,,
Moshe,Shapiro,moshe.shapiro@gmail.com,0563017920,Haifa,Nexus Israel,Event,ACTIVE,16.1.2025,,,,,,,
Gal,Marom,gal.marom@gmail.com,0569910743,Ramat Gan,Acme Ltd.,Event,ACTIVE,12.3.2025,,,,,,,
Yossi,Rosenberg,yrosenberg@yahoo.com,0517858110,Netanya,Nexus Israel,,ACTIVE,17.9.2025,,,,,,,
Uri,Sasson,uri.sasson@hotmail.com,0555117989,Haifa,Acme Ltd.,,IN PROGRESS,28.8.2025,,,,,,,
Sarah,Amar,sarahamar@outlook.com,0,Petah Tikva,StartUp Co.,Event,IN PROGRESS,19.7.2025,,,,,,,
Noa,Shapiro,,0,Holon,N/A,REFERRAL,INACTIVE,13.4.2025,,,,,,,
Shira,Gabai,sgabai@yahoo.com,0579971691,Jerusalem,StartUp Co.,Event,ACTIVE,20.8.2025,,,,,,,
Dor,Rosenberg,drosenberg@yahoo.com,0512256271,Rishon Lezion,Acme Ltd,Cold Call,ACTIVE,14.4.2025,,,,,,,
Noa,Malka,noa.malka@outlook.com,07290861,,Sela Group,website,ACTIVE,16.2.2025,,,,,,,
Noa,Sasson  ,noa.sasson@yahoo.com,0512382213,Haifa,Globex Inc,REFERRAL,CLOSED,12.11.2025,,,,,,,
Guy,Sasson,guysasson@yahoo.com,0527277502,Holon,Delta Systems,Referral,ACTIVE,10.5.2025,,,,,,,
Omer,Shapiro,omershapiro@gmail.com,0524350987,Jerusalem,Acme Ltd.,Event,ACTIVE,19.2.2025,,,,,,,
Uri,Sasson,urisasson@outlook.com,06919673,Haifa,Sela Group,Social Media,IN PROGRESS,5.8.2025,,,,,,,
Maya,Azoulay,mazoulay@walla.co.il,07972060,Holon,N/A,REFERRAL,ACTIVE,28.12.2025,,,,,,,
Noa,Peretz,,0579487536,,Acme Ltd.,Website,CLOSED,27.4.2025,,,,,,,
Shira,Friedman,shira.friedman@outlook.com,02841627,Ramat Gan,,website,ACTIVE,13.12.2025,,,,,,,
Eli,Azoulay,eliazoulay@gmail.com,0,Holon,,Social Media,IN PROGRESS,27.12.2025,,,,,,,
Tamar,Shapiro,tshapiro@yahoo.com,04214959,Holon,StartUp Co.,Website,IN PROGRESS,19.10.2025,,,,,,,
Guy,Amar,gamar@hotmail.com,0577945583,Jerusalem,Acme Ltd.,Referral,ACTIVE,3.2.2025,,,,,,,
Ron,Sasson,rsasson@walla.co.il,0546671081,Haifa,N/A,website,INACTIVE,16.4.2025,,,,,,,
David,Azoulay,dazoulay@walla.co.il,0547382895,Netanya,Sela Group,Event,ACTIVE,7.3.2025,,,,,,,
Itai,Mizrahi,imizrahi@walla.co.il,0509916250,Tel Aviv,,,INACTIVE,20.8.2025,,,,,,,
Eli,Peretz,eperetz@walla.co.il,08499746,Netanya,Acme Ltd.,website,IN PROGRESS,22.8.2025,,,,,,,
Roni,Toledano,ronitoledano@outlook.com,07631320,Haifa,StartUp Co.,Social Media,ACTIVE,15.11.2025,,,,,,,
Yossi,Cohen,ycohen@yahoo.com,0553859017,Haifa,TechCo,,IN PROGRESS,6.12.2025,,,,,,,
Eli,Sasson,,09871916,Jerusalem,Globex Inc,Referral,IN PROGRESS,21.3.2025,,,,,,,
Avi,Dahan,avidahan@outlook.com,0575844933,,Sela Group,Website,CLOSED,16.10.2025,,,,,,,
Tal,Sasson,tal.sasson@walla.co.il,0549383269,Netanya,N/A,Social Media,ACTIVE,17.2.2025,,,,,,,
Noa,Gabai,ngabai@yahoo.com,02935653,Beer Sheva,N/A,Event,INACTIVE,21.11.2025,,,,,,,
Ron,Friedman,ron.friedman@walla.co.il,0502026454,Herzliya,TechCo,Cold Call,ACTIVE,26.12.2025,,,,,,,
Itai,Gabai,itaigabai@walla.co.il,0576837817,Netanya,Sela Group,website,IN PROGRESS,13.11.2025,,,,,,,
Dor,Mizrahi,dmizrahi@hotmail.com,04262672,Haifa,Delta Systems,Referral,IN PROGRESS,3.9.2025,,,,,,,
Tal,Sasson,tal.sasson@hotmail.com,05927668,Tel Aviv,,Social Media,ACTIVE,23.10.2025,,,,,,,
Hila,Ben-David,,0504603680,Netanya,StartUp Co.,Social Media,ACTIVE,9.2.2025,,,,,,,
Roni,Elbaz,relbaz@hotmail.com,0573976792,Ramat Gan,TechCo,website,ACTIVE,7.1.2025,,,,,,,
Moshe,Katz,mkatz@walla.co.il,0538147437,Rishon Lezion,Acme Ltd.,Website,ACTIVE,8.6.2025,,,,,,,
Ron,Cohen,ron.cohen@hotmail.com,0553337892,Jerusalem,,Cold Call,INACTIVE,23.2.2025,,,,,,,
Tal,Dahan,tal.dahan@gmail.com,0573500297,Herzliya,TechCo,Referral,ACTIVE,28.4.2025,,,,,,,
Gal,Ben-David,galben-david@outlook.com,0573652447,Tel Aviv,N/A,Website,IN PROGRESS,3.4.2025,,,,,,,
Adi,Malka,adimalka@hotmail.com,0516428072,Netanya,Nexus Israel,Social Media,ACTIVE,24.6.2025,,,,,,,
Nir,Sasson,,07719722,,Globex Inc,,ACTIVE,15.9.2025,,,,,,,
Sarah,Ben-David,sarah.ben-david@outlook.com,03930307,Herzliya,Nexus Israel,Event,ACTIVE,18.2.2025,,,,,,,
Shani,Friedman,,07500678,Petah Tikva,Acme Ltd.,Referral,ACTIVE,7.1.2025,,,,,,,
Ron,Marom,ron.marom@gmail.com,0561620894,Haifa,,website,IN PROGRESS,25.6.2025,,,,,,,
Guy,Azoulay,guyazoulay@walla.co.il,0564167286,Herzliya,Delta Systems,Referral,CLOSED,5.2.2025,,,,,,,
Hila,Mizrahi,hilamizrahi@outlook.com,01376438,Jerusalem,,REFERRAL,ACTIVE,5.12.2025,,,,,,,
Rachel,Biton,rbiton@hotmail.com,0574590102,Ramat Gan,StartUp Co.,Website,INACTIVE,17.11.2025,,,,,,,
Moshe,Biton,moshe.biton@walla.co.il,0541038099,Haifa,Acme Ltd,Social Media,ACTIVE,10.9.2025,,,,,,,
Moshe,Azoulay,mosheazoulay@gmail.com,0546219258,Haifa,,Referral,IN PROGRESS,26.8.2025,,,,,,,
Hila,Sasson,hilasasson@hotmail.com,0556905327,Netanya,StartUp Co.,website,ACTIVE,6.2.2025,,,,,,,
Maya,Peretz,mperetz@gmail.com,0557880270,Ramat Gan,Acme Ltd.,REFERRAL,CLOSED,13.12.2025,,,,,,,
Tal,Gabai,,01434291,Beer Sheva,Nexus Israel,website,ACTIVE,23.8.2025,,,,,,,
Tamar,Dahan,tamardahan@outlook.com,07948587,Ramat Gan,StartUp Co.,Social Media,ACTIVE,13.8.2025,,,,,,,
Yosef,Avraham,yavraham@walla.co.il,0511985629,Beer Sheva,N/A,Event,ACTIVE,16.12.2025,,,,,,,
Maya,Ben-David,mayaben-david@walla.co.il,0575834993,Rishon Lezion,Acme Ltd.,Event,ACTIVE,17.10.2025,,,,,,,
David,Rosenberg,davidrosenberg@yahoo.com,02291723,Haifa,Delta Systems,Referral,ACTIVE,18.8.2025,,,,,,,
Omer,Amar,OAMAR@HOTMAIL.COM,0597052024,Tel Aviv,Acme Ltd,Event,INACTIVE,21.8.2025,,,,,,,
Gal,Cohen,,08805478,Haifa,N/A,Referral,ACTIVE,6.6.2025,,,,,,,
Hila,Avraham,hilaavraham@walla.co.il,0,Haifa,Nexus Israel,Referral,ACTIVE,26.7.2025,,,,,,,
David,Shapiro,david.shapiro@gmail.com,09155143,Herzliya,Globex Inc,Social Media,ACTIVE,12.9.2025,,,,,,,
Roni,Levi,ronilevi@hotmail.com,0508113264,Herzliya,Nexus Israel,Event,ACTIVE,1.12.2025,,,,,,,
Tal,Dahan,tdahan@gmail.com,0552431206,Haifa,,Cold Call,ACTIVE,28.3.2025,,,,,,,
Maya,Friedman,mayafriedman@outlook.com,0525496196,Haifa,,Referral,ACTIVE,16.8.2025,,,,,,,
Liat,Avraham,,0592813267,Netanya,Acme Ltd,Referral,ACTIVE,4.5.2025,,,,,,,
Roni,Marom,rmarom@walla.co.il,0586036433,Ramat Gan,Delta Systems,Cold Call,ACTIVE,11.11.2025,,,,,,,
Dana,Ben-David,dben-david@hotmail.com,0544398864,Haifa,N/A,website,IN PROGRESS,28.12.2025,,,,,,,
Liat,Gabai,liat.gabai@yahoo.com,0593408829,Tel Aviv,Acme Ltd,Website,ACTIVE,25.5.2025,,,,,,,
Yosef,Amar,yamar@yahoo.com,0,Tel Aviv,Sela Group,Social Media,ACTIVE,12.4.2025,,,,,,,
Yael,Toledano,yael.toledano@walla.co.il,0592354222,Haifa,Acme Ltd.,,IN PROGRESS,9.2.2025,,,,,,,
Avi,Mizrahi,avi.mizrahi@hotmail.com,05113305,Rishon Lezion,Acme Ltd,Cold Call,ACTIVE,28.2.2025,,,,,,,
Tamar,Azoulay,tamar.azoulay@walla.co.il,01770678,Netanya,Acme Ltd.,Cold Call,ACTIVE,17.4.2025,,,,,,,
Amit,Katz,amitkatz@hotmail.com,08586504,Herzliya,Sela Group,,ACTIVE,15.12.2025,,,,,,,
Moshe,Cohen,moshecohen@hotmail.com,05574427,Tel Aviv,Acme Ltd,Social Media,ACTIVE,2.1.2025,,,,,,,
Moshe,Mizrahi,moshemizrahi@yahoo.com,0523025605,Ramat Gan,TechCo,Event,ACTIVE,16.12.2025,,,,,,,
Ron,Cohen,roncohen@gmail.com,0503633108,Haifa,Acme Ltd.,Cold Call,IN PROGRESS,9.12.2025,,,,,,,
Tal,Elbaz,tal.elbaz@walla.co.il,0593270069,Petah Tikva,Sela Group,Referral,INACTIVE,11.5.2025,,,,,,,
Guy,Malka,guy.malka@outlook.com,0559088805,Jerusalem,Nexus Israel,Referral,ACTIVE,8.5.2025,,,,,,,
Avi,Friedman,afriedman@hotmail.com,0515978445,Tel Aviv,Acme Ltd.,,INACTIVE,12.3.2025,,,,,,,
Tamar,Malka,tamarmalka@hotmail.com,0529992807,Ramat Gan,Acme Ltd.,Referral,ACTIVE,11.12.2025,,,,,,,
Guy,Rosenberg,guyrosenberg@outlook.com,0509821826,Herzliya,Delta Systems,Referral,ACTIVE,17.9.2025,,,,,,,
Avi,Rosenberg,arosenberg@gmail.com,0583071382,Haifa,TechCo,Event,ACTIVE,26.12.2025,,,,,,,
Shira,Gabai,sgabai@hotmail.com,0553524629,Beer Sheva,TechCo,REFERRAL,ACTIVE,15.8.2025,,,,,,,
Shira,Cohen,,0573141239,Tel Aviv,TechCo,Social Media,IN PROGRESS,2.3.2025,,,,,,,
Avi,Cohen  ,avi.cohen@yahoo.com,01518292,Herzliya,Acme Ltd.,Cold Call,ACTIVE,1.12.2025,,,,,,,
Tamar,Levi,tamar.levi@outlook.com,0599470588,Tel Aviv,StartUp Co.,Website,ACTIVE,19.1.2025,,,,,,,
Adi,Toledano  ,atoledano@gmail.com,04028940,Holon,,Cold Call,INACTIVE,13.10.2025,,,,,,,
Shira,Katz,skatz@hotmail.com,02681476,Haifa,TechCo,,ACTIVE,1.11.2025,,,,,,,
Sarah,Friedman,sfriedman@hotmail.com,0527297691,Ramat Gan,Globex Inc,Social Media,ACTIVE,22.11.2025,,,,,,,
Yossi,Cohen  ,yossicohen@hotmail.com,0561393039,Holon,StartUp Co.,,ACTIVE,25.5.2025,,,,,,,
Dana,Avraham,danaavraham@hotmail.com,0578225192,Herzliya,Acme Ltd.,Website,ACTIVE,3.8.2025,,,,,,,
Adi,Malka,adi.malka@walla.co.il,0595961890,Haifa,Nexus Israel,Social Media,INACTIVE,13.3.2025,,,,,,,
Avi,Gabai,avigabai@yahoo.com,0575409512,Ramat Gan,Acme Ltd.,Cold Call,ACTIVE,13.10.2025,,,,,,,
Rachel,Dahan,rachel.dahan@outlook.com,0,Tel Aviv,Globex Inc,Social Media,INACTIVE,9.4.2025,,,,,,,
Dor,Shapiro  ,dshapiro@walla.co.il,0587084360,Ramat Gan,Nexus Israel,Event,ACTIVE,5.12.2025,,,,,,,
Tamar,Cohen,tcohen@outlook.com,0552501223,Netanya,Delta Systems,Referral,ACTIVE,16.3.2025,,,,,,,
David,Shapiro,dshapiro@hotmail.com,0577399057,Haifa,Delta Systems,website,IN PROGRESS,5.11.2025,,,,,,,
Tal,Azoulay,tal.azoulay@yahoo.com,0558443172,Ramat Gan,Acme Ltd.,Cold Call,IN PROGRESS,20.12.2025,,,,,,,
Gal,Mizrahi,galmizrahi@gmail.com,0557416943,Tel Aviv,Globex Inc,Cold Call,ACTIVE,13.9.2025,,,,,,,
Maya,Amar,maya.amar@yahoo.com,0575757800,Haifa,,Social Media,ACTIVE,9.8.2025,,,,,,,
Maya,Rosenberg,maya.rosenberg@outlook.com,08994196,Tel Aviv,,website,ACTIVE,24.4.2025,,,,,,,
Yosef,Mizrahi,yosef.mizrahi@outlook.com,0582501119,Jerusalem,Delta Systems,Website,ACTIVE,21.1.2025,,,,,,,
Maya,Biton,mbiton@gmail.com,05769509,Haifa,,Social Media,ACTIVE,27.2.2025,,,,,,,
Tamar,Malka,tmalka@outlook.com,0576725828,Jerusalem,Delta Systems,REFERRAL,ACTIVE,24.6.2025,,,,,,,
Avi,Dahan,adahan@walla.co.il,0538452417,Beer Sheva,StartUp Co.,REFERRAL,CLOSED,19.11.2025,,,,,,,
Omer,Levi,omerlevi@walla.co.il,0508757420,Tel Aviv,N/A,Referral,IN PROGRESS,2.9.2025,,,,,,,
Moshe,Biton,mbiton@outlook.com,0552641024,Herzliya,Nexus Israel,website,ACTIVE,20.9.2025,,,,,,,
Rachel,Gabai,rachel.gabai@gmail.com,0549757456,Beer Sheva,StartUp Co.,Referral,INACTIVE,7.7.2025,,,,,,,
Moshe,Elbaz,mosheelbaz@outlook.com,0519719581,Netanya,Globex Inc,,CLOSED,15.5.2025,,,,,,,
Roni,Biton,roni.biton@hotmail.com,07291026,Herzliya,N/A,Website,ACTIVE,10.11.2025,,,,,,,
Itai,Amar,iamar@yahoo.com,03530114,Ramat Gan,Delta Systems,Cold Call,ACTIVE,8.1.2025,,,,,,,
Yosef,Ben-David,yosefben-david@gmail.com,0588106183,Herzliya,TechCo,REFERRAL,CLOSED,18.9.2025,,,,,,,
Itai,Amar,itaiamar@hotmail.com,0528380275,Haifa,TechCo,REFERRAL,ACTIVE,23.10.2025,,,,,,,
Shira,Rosenberg,,0557720828,Ramat Gan,StartUp Co.,,ACTIVE,7.7.2025,,,,,,,
Yosef,Shapiro,yosefshapiro@hotmail.com,0539926120,Haifa,Delta Systems,REFERRAL,ACTIVE,26.10.2025,,,,,,,
Yosef,Dahan,yosef.dahan@gmail.com,0501684580,Beer Sheva,Globex Inc,Cold Call,CLOSED,4.5.2025,,,,,,,
Tal,Azoulay,tazoulay@walla.co.il,05947223,Ramat Gan,N/A,REFERRAL,CLOSED,25.6.2025,,,,,,,
Tal,Marom,talmarom@outlook.com,0556682599,Haifa,Acme Ltd.,Referral,ACTIVE,4.10.2025,,,,,,,
Gal,Azoulay,gazoulay@walla.co.il,07983641,Ramat Gan,Nexus Israel,Social Media,ACTIVE,6.9.2025,,,,,,,
Tamar,Toledano,ttoledano@outlook.com,0589421681,,Acme Ltd.,Referral,INACTIVE,27.12.2025,,,,,,,
Omer,Elbaz,,0551447451,Netanya,Acme Ltd,REFERRAL,INACTIVE,27.2.2025,,,,,,,
Gal,Biton,gal.biton@gmail.com,0,Beer Sheva,N/A,Referral,ACTIVE,6.1.2025,,,,,,,
Tamar,Avraham,tamaravraham@outlook.com,0591110277,Tel Aviv,Acme Ltd,Cold Call,ACTIVE,22.1.2025,,,,,,,
Yosef,Toledano,yoseftoledano@outlook.com,0577169641,Beer Sheva,,REFERRAL,IN PROGRESS,4.11.2025,,,,,,,
Noa,Elbaz,noaelbaz@yahoo.com,0554711087,Haifa,Delta Systems,Website,CLOSED,22.2.2025,,,,,,,
Itai,Elbaz,itaielbaz@walla.co.il,0,Haifa,Globex Inc,,ACTIVE,4.2.2025,,,,,,,
Sarah,Sasson,sarah.sasson@yahoo.com,0568881645,Ramat Gan,Delta Systems,Social Media,ACTIVE,10.1.2025,,,,,,,
Yosef,Avraham,yosef.avraham@gmail.com,0565453618,Tel Aviv,N/A,Referral,ACTIVE,11.2.2025,,,,,,,
Michal,Katz,michalkatz@yahoo.com,0512001936,Jerusalem,Acme Ltd.,Cold Call,INACTIVE,14.11.2025,,,,,,,
Dor,Katz,dor.katz@gmail.com,0539480309,Netanya,Nexus Israel,Referral,CLOSED,15.10.2025,,,,,,,
Hila,Toledano,htoledano@outlook.com,07337478,Netanya,Acme Ltd,Website,ACTIVE,27.3.2025,,,,,,,
Yosef,Toledano,yosef.toledano@outlook.com,0554057389,Rishon Lezion,Sela Group,Event,INACTIVE,14.5.2025,,,,,,,
David,Biton,david.biton@yahoo.com,0,Tel Aviv,Nexus Israel,Referral,ACTIVE,19.3.2025,,,,,,,
Dana,Toledano,dtoledano@yahoo.com,04995869,Ramat Gan,Delta Systems,website,INACTIVE,19.6.2025,,,,,,,
Dana,Dahan,dana.dahan@yahoo.com,0541871735,Tel Aviv,N/A,Referral,ACTIVE,1.5.2025,,,,,,,
Dor,Biton,dor.biton@gmail.com,0585576682,Herzliya,StartUp Co.,Social Media,ACTIVE,4.11.2025,,,,,,,
Yossi,Cohen,yossicohen@hotmail.com,0561393039,Holon,StartUp Co.,,ACTIVE,25.5.2025,,,,,,,
Michal,Peretz,mperetz@hotmail.com,0577343232,Tel Aviv,Globex Inc,Referral,IN PROGRESS,7.3.2025,,,,,,,
Tal,Dahan  ,tal.dahan@gmail.com,0573500297,Herzliya,TechCo,Referral,ACTIVE,28.4.2025,,,,,,,
Rachel,Marom,rachel.marom@gmail.com,01493799,Ramat Gan,Acme Ltd.,,ACTIVE,13.7.2025,,,,,,,
Noa,Rosenberg,nrosenberg@outlook.com,03648744,Tel Aviv,StartUp Co.,Social Media,ACTIVE,25.7.2025,,,,,,,
Omer,Mizrahi,omer.mizrahi@yahoo.com,03192005,Haifa,N/A,REFERRAL,IN PROGRESS,9.8.2025,,,,,,,
Yael,Amar,yamar@yahoo.com,0589882428,Ramat Gan,N/A,Cold Call,CLOSED,6.5.2025,,,,,,,
Ron,Malka,rmalka@outlook.com,0585788268,Rishon Lezion,,website,ACTIVE,3.3.2025,,,,,,,
Maya,Levi,mayalevi@gmail.com,0596640806,Haifa,Delta Systems,,ACTIVE,22.12.2025,,,,,,,
Omer,Biton,,0551734135,Netanya,StartUp Co.,Website,CLOSED,13.7.2025,,,,,,,
Tamar,Mizrahi,tmizrahi@yahoo.com,0531120642,Rishon Lezion,,Social Media,INACTIVE,18.4.2025,,,,,,,
Roni,Rosenberg,roni.rosenberg@hotmail.com,07042047,Netanya,Globex Inc,,IN PROGRESS,3.9.2025,,,,,,,
Avi,Cohen,avicohen@yahoo.com,0599106820,Rishon Lezion,Delta Systems,website,ACTIVE,17.1.2025,,,,,,,
